,Trial,Block,Rotation,Emphasis,Condition,Participant_Id,average,std
109,27,0,Gradual,Speed,Gradual_Speed,30,0.16128347621055422,0.2353310961314249
110,27,0,Sudden,Accuracy,Sudden_Accuracy,29,0.04458707265458128,0.021647932941196043
111,27,0,Sudden,Speed,Sudden_Speed,28,0.090042400191667,0.10049518069974993
112,28,0,Gradual,Accuracy,Gradual_Accuracy,31,0.041071488054712633,0.019946694713863445
113,28,0,Gradual,Speed,Gradual_Speed,30,0.1536610162021216,0.20887945818340073
114,28,0,Sudden,Accuracy,Sudden_Accuracy,29,0.04569382869288984,0.023572033050875178
115,28,0,Sudden,Speed,Sudden_Speed,28,0.0745534939067131,0.06841348299349144
116,29,0,Gradual,Accuracy,Gradual_Accuracy,31,0.04060525296785323,0.018801268654526058
117,29,0,Gradual,Speed,Gradual_Speed,30,0.1493542873197331,0.20375376035873008
118,29,0,Sudden,Accuracy,Sudden_Accuracy,29,0.046688348311970676,0.02474452938588562
119,29,0,Sudden,Speed,Sudden_Speed,28,0.06049573062852098,0.041798749321426444
120,30,0,Gradual,Accuracy,Gradual_Accuracy,31,0.039808339782429904,0.0170192043365075
121,30,0,Gradual,Speed,Gradual_Speed,30,0.14937679509075566,0.22160267813784976
122,30,0,Sudden,Accuracy,Sudden_Accuracy,29,0.047391274992944814,0.026802412983446242
123,30,0,Sudden,Speed,Sudden_Speed,28,0.049426525041325636,0.02712110219344396
124,31,0,Gradual,Accuracy,Gradual_Accuracy,31,0.03950877983819409,0.015371895760181468
125,31,0,Gradual,Speed,Gradual_Speed,30,0.1524847341726066,0.24711592804851643
126,31,0,Sudden,Accuracy,Sudden_Accuracy,29,0.04837128054755936,0.0313997562488149
127,31,0,Sudden,Speed,Sudden_Speed,28,0.0423870194448851,0.022563054300104857
128,32,0,Gradual,Accuracy,Gradual_Accuracy,31,0.04045914478469969,0.014836085833981756
129,32,0,Gradual,Speed,Gradual_Speed,30,0.15772918020848906,0.2659525010540861
130,32,0,Sudden,Accuracy,Sudden_Accuracy,29,0.049790476991424595,0.03541916753881676
131,32,0,Sudden,Speed,Sudden_Speed,28,0.04014815927499022,0.022834016950197593
132,33,0,Gradual,Accuracy,Gradual_Accuracy,31,0.04251765551443036,0.016412903520739798
133,33,0,Gradual,Speed,Gradual_Speed,30,0.16453515655511392,0.27538796669261834
134,33,0,Sudden,Accuracy,Sudden_Accuracy,29,0.0511632101804921,0.03577589474384391
135,33,0,Sudden,Speed,Sudden_Speed,28,0.04286108922920941,0.025569255840242076
136,34,0,Gradual,Accuracy,Gradual_Accuracy,31,0.04477312077322918,0.020246791752133442
137,34,0,Gradual,Speed,Gradual_Speed,30,0.17121302338740105,0.2762926687214581
138,34,0,Sudden,Accuracy,Sudden_Accuracy,29,0.05209919065368399,0.03387084990761356
139,34,0,Sudden,Speed,Sudden_Speed,28,0.04972161652011155,0.03228668864665085
140,35,0,Gradual,Accuracy,Gradual_Accuracy,31,0.04627682001532221,0.024657697377861217
141,35,0,Gradual,Speed,Gradual_Speed,30,0.1763327247016567,0.27106748142079196
142,35,0,Sudden,Accuracy,Sudden_Accuracy,29,0.05278602553306712,0.03247545316119942
143,35,0,Sudden,Speed,Sudden_Speed,28,0.059232077243580386,0.04567055126837118
144,36,0,Gradual,Accuracy,Gradual_Accuracy,31,0.04669182814126076,0.027575286284443716
145,36,0,Gradual,Speed,Gradual_Speed,30,0.18162068403586507,0.27042377013850083
146,36,0,Sudden,Accuracy,Sudden_Accuracy,29,0.05370087501797989,0.032231743063860084
147,36,0,Sudden,Speed,Sudden_Speed,28,0.06985412238825237,0.06504631309370992
148,37,0,Gradual,Accuracy,Gradual_Accuracy,31,0.046466817505734,0.028500593072239726
149,37,0,Gradual,Speed,Gradual_Speed,30,0.18974318700259912,0.28466366500483753
150,37,0,Sudden,Accuracy,Sudden_Accuracy,29,0.054981949283740464,0.034151984540267244
151,37,0,Sudden,Speed,Sudden_Speed,28,0.07997559732739278,0.08363967821363139
152,38,0,Gradual,Accuracy,Gradual_Accuracy,31,0.046406662193765075,0.028628010079101776
153,38,0,Gradual,Speed,Gradual_Speed,30,0.19860998687590212,0.30656998048268186
154,38,0,Sudden,Accuracy,Sudden_Accuracy,29,0.05606626170059433,0.037628472788347044
155,38,0,Sudden,Speed,Sudden_Speed,28,0.0874935164982995,0.09129881758800709
156,39,0,Gradual,Accuracy,Gradual_Accuracy,31,0.046795480226201384,0.028806088305109754
157,39,0,Gradual,Speed,Gradual_Speed,30,0.20150427889586647,0.31635412441111055
158,39,0,Sudden,Accuracy,Sudden_Accuracy,29,0.056063202422733674,0.038125643053055394
