,Participant_ID,Rotation,Emphasis,A,B,single_sigma,single_neg2ll,Af,Bf,As,Bs,dual_sigma,dual_neg2ll,AIC_single,AIC_dual
19,19,Gradual,Accuracy,0.9915623063883829,0.05007956635897322,0.06930052806084877,-1600.6288420600636,0.9913785567926828,0.05070184597339938,0.998922305655151,9.211621217537658e-05,0.06932103075860388,-1600.5646240555147,-1596.6288420600636,-1592.5646240555147
20,20,Sudden,Speed,0.9991230346948459,0.004675278221060838,0.10739797090279782,-1039.6983412106647,0.999119446264598,0.004657838393070304,0.9998292252098718,1.8345597860465895e-05,0.10740173720443176,-1039.6804304786958,-1035.6983412106647,-1031.6804304786958
21,21,Sudden,Accuracy,0.6675916545465332,0.1614310154124503,0.09602068560940955,-1183.0436828574113,0.6761801574523911,0.09643269967407375,0.999999997043193,0.0005558390119183303,0.07989333696648354,-1418.0787985185545,-1179.0436828574113,-1410.0787985185545
22,22,Gradual,Speed,0.9999999995089868,0.004406565290489545,0.19277449009031689,-293.0194033849894,0.9999997049353164,0.0041928322538362685,0.9999998980773621,0.00012346836884788383,0.050221592313099014,6750.9659682094925,-289.0194033849894,6758.9659682094925
23,23,Gradual,Accuracy,0.9721143179306815,0.0789385393067217,0.1065248775116687,-1050.075105573008,0.9719349312902605,0.07927378987904385,0.9999992537240339,1.6773947456716713e-05,0.10649427866352829,-1050.1496568957555,-1046.075105573008,-1042.1496568957555
24,24,Sudden,Speed,0.9162951660320926,0.05390097768276698,0.13547629722484866,-742.4494776720575,0.898388805024085,0.0652784169501383,0.9961316495411647,1.4400705308304947e-07,0.13504643274588962,-741.7982001947114,-738.4494776720575,-733.7982001947114
25,25,Sudden,Accuracy,0.9979432014736638,0.008213023351293352,0.09845774972802218,-1150.9119698613272,0.9979423297114269,0.00813681850735334,0.9979437608752283,7.79919134704866e-05,0.0984782129235279,-1150.911989829602,-1146.9119698613272,-1142.911989829602
26,26,Gradual,Speed,0.9999999790588534,0.006829162951553142,0.12796097846672588,-815.7063154976523,0.9993555296048156,0.007844576376399516,0.9993955547570432,5.633749621703309e-07,0.0522814189388275,1262.7906386218176,-811.7063154976523,1270.7906386218176
27,27,Gradual,Accuracy,0.9870939023352836,0.03146562996441161,0.12349224104846275,-860.9456619508746,0.987051412064231,0.03153424040905144,0.9882961666011434,1.2194687209677173e-05,0.12349084782492935,-860.9456594464963,-856.9456619508746,-852.9456594464963
28,28,Sudden,Speed,0.9979794748979962,0.007538088372209504,0.2756593583228659,166.81387297896578,0.9970622435833176,0.008478758541069165,0.9970622444182763,0.00012370849529036375,0.2683473117152712,177.0068757017924,170.81387297896578,185.0068757017924
29,29,Sudden,Accuracy,0.9986240416466428,0.0030705590768033194,0.1348383422318078,-748.4429023096611,0.9988993054959965,0.002823071765767432,0.9999999972959239,3.5224916831153673e-06,0.12427231892741475,-735.6566794632804,-744.4429023096611,-727.6566794632804
30,30,Gradual,Speed,0.9670779918706507,0.03394259822110992,0.10989252132587421,-1010.3882541882923,0.9716917615996382,0.02938412589987907,0.9716923369348258,0.00010309492975885671,0.10985679767060826,-1010.1155503697048,-1006.3882541882923,-1002.1155503697048
31,31,Gradual,Accuracy,0.9924173090057455,0.031349285236434675,0.047485745075486,-2084.384384948492,0.9914729863616318,0.0334683880588111,0.99999999130904,0.0002476816328863243,0.047433725653246245,-2085.2233992491842,-2080.384384948492,-2077.2233992491842
32,32,Sudden,Speed,0.9919392365015964,0.0082262350967805,0.09034037523241739,-1261.0226859741333,0.9915933263546648,0.008322974130889536,0.9999963444564697,4.964686641542075e-05,0.0899388672836591,-1264.2985750987352,-1257.0226859741333,-1256.2985750987352
33,33,Sudden,Accuracy,0.9954365087584294,0.010120582715832178,0.11968943302023176,-901.1969589573525,0.9953721090180997,0.01009579997257574,0.9999999893429761,4.746539841565613e-05,0.11940463903933532,-902.4537762691378,-897.1969589573525,-894.4537762691378
34,34,Gradual,Speed,0.9691452173677576,0.06294120825734523,0.08042192742479944,-1410.0162919806737,0.969160710092777,0.06284817761292015,0.9691861241201996,6.827681378486436e-05,0.08041848958732103,-1410.0163151850802,-1406.0162919806737,-1402.0163151850802
35,35,Gradual,Accuracy,0.9866165366713804,0.05472558610923772,0.04538848748854584,-2142.005737285354,0.9866052875275059,0.054659533518568185,0.9895298154843811,8.681983582835883e-05,0.04539381271441549,-2142.0059033235266,-2138.005737285354,-2134.0059033235266
