,participant_id,rotation,emphasis,A,Af,As,B,Bf,Bs,condition,Bf-B,B-Bs,log(Bf/B),log(B/Bs),BA,BfAf,BsAs
19,19,Gradual,Accuracy,0.9915527974171736,0.9916527340229517,0.9916538076976638,0.05013366413972996,0.04653480804666263,0.003109969300476553,Gradual Accuracy,-0.003598856093067329,0.04702369483925341,-0.07449212865252006,2.780079866444689,0.049710174922522284,0.04614636962670625,0.0030840128986404135
20,20,Sudden,Speed,0.9991225325765556,0.004473170153585301,0.9992498368479501,0.004676191353240619,0.05509415678357037,0.004464046287057303,Sudden Speed,0.050417965430329746,0.00021214506618331616,2.466559697856798,0.04642837120382541,0.004672088147662358,0.0002464455377612161,0.004460697524023707
21,21,Sudden,Accuracy,0.9899431647613537,0.48062198791320976,0.999998503960758,0.005527980207415422,0.1535844797753269,0.0005627806269173099,Sudden Accuracy,0.14805649956791148,0.004965199580498111,3.3244282664441576,2.284687883046341,0.005472386221266947,0.07381607798223377,0.0005627797849754074
22,22,Gradual,Speed,0.9999999982390442,0.11282154328685609,0.9999999996693067,0.004409066784550907,0.004440867039496522,0.004410007287578943,Gradual Speed,3.180025494561433e-05,-9.405030280355137e-07,0.007186582960579168,-0.00021328838467820862,0.004409066776786735,0.0005010254729277293,0.0044100072861205835
23,23,Gradual,Accuracy,0.9721007385487472,0.9056545730855512,0.9999999405765547,0.0789782780701634,0.1417710430055769,0.003941745466517379,Gradual Accuracy,0.06279276493541351,0.07503653260364603,0.5850405296073785,2.9975492165055795,0.07677484244131418,0.12839559342910908,0.003941745232285283
24,24,Sudden,Speed,0.9162616470870226,0.030824840299707088,0.9247484847953793,0.05392049232092955,0.11380205039306177,0.03962696930910052,Sudden Speed,0.05988155807213222,0.014293523011829026,0.7469499419002352,0.30800066752851907,0.04940527910571806,0.003507930029145347,0.0366449798256237
25,25,Sudden,Accuracy,0.9979422130660102,0.9671182346933218,0.9999717144756889,0.00821476548200635,0.018320066423758948,0.004056947880071735,Sudden Accuracy,0.010105300941752597,0.004157817601934615,0.8020637814429266,0.7055022663192791,0.008197861244931687,0.01771767029921015,0.0040568331271738445
26,26,Gradual,Speed,0.9999999965501538,0.26895008092191997,0.9999992898902164,0.006827875040911372,0.009474724813992847,0.006801261171997728,Gradual Speed,0.0026468497730814753,2.6613868913644145e-05,0.32761420338351827,0.0039054423296054795,0.006827875017356253,0.0025482280054362995,0.0068012563423556285
27,27,Gradual,Accuracy,0.9870700788487984,0.9865001504122991,0.9921816739132419,0.0315122364256838,0.029913347854875733,0.001794200768605511,Gradual Accuracy,-0.0015988885708080672,0.029718035657078288,-0.05207113102609901,2.865816259833182,0.031104785693401686,0.029509522158170334,0.001780173121931441
28,28,Sudden,Speed,0.9979786630387628,0.0007642994309449491,0.99798767556842,0.007537762509293082,0.007505986237189188,0.00750576508905312,Sudden Speed,-3.177627210389396e-05,3.199742023996151e-05,-0.004224521413847944,0.004253984749774344,0.007522526151328019,5.736821009764315e-06,0.007490661054586719
29,29,Sudden,Accuracy,0.9986238611212814,0.3137062995955259,0.9986577491792414,0.0030710151115931764,0.0030359244358213328,0.0030359016995806184,Sudden Accuracy,-3.509067577184364e-05,3.5113412012557996e-05,-0.011492192350060944,0.011499681444843176,0.0030667889683009806,0.0009523886206131448,0.003031826758032614
30,30,Gradual,Speed,0.9670614111347012,0.9671869956837558,0.9848563581933144,0.0339657775721935,0.03382585975602882,2.610509959299735e-07,Gradual Speed,-0.0001399178161646808,0.03396551652119757,-0.004127884215683531,11.776148258740482,0.032846992789252835,0.032715931673853574,2.5709773315433144e-07
31,31,Gradual,Accuracy,0.9924115351946524,0.952413650978532,0.998298483498024,0.03136567719061555,0.06495477250755834,0.008722429015082972,Gradual Accuracy,0.033589095316942784,0.02264324817553258,0.7279770081714183,1.279816456055029,0.031127659853158674,0.06186381203240361,0.008707587658176493
32,32,Sudden,Speed,0.991936948119622,0.6471913279705749,0.9952379810557785,0.008228563229400378,0.09371042076176253,0.003976950353655214,Sudden Speed,0.08548185753236215,0.004251612875745164,2.4325979749478717,0.7270961394369111,0.008162215897180752,0.060648571657486425,0.00395801204073088
33,33,Sudden,Accuracy,0.9954359478408239,0.9537585389031007,0.9983327492413947,0.010121324327890004,0.02393211898521124,0.004372576484333488,Sudden Accuracy,0.013810794657321237,0.0057487478435565165,0.8605769295820378,0.8392920978507957,0.010075130075737576,0.02282546283619023,0.004365286302872923
34,34,Gradual,Speed,0.969150362692041,0.9687201099214298,0.9712714780858122,0.06293669431085058,0.04371492349519367,0.018523070011660783,Gradual Speed,-0.019221770815656916,0.0444136242991898,-0.36443982643039663,1.2231123861319328,0.06099512011799896,0.0423475254934709,0.01799092958891275
