,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a_subj(3.Sudden).10,2.101079981712928,0.12710692889465286,1.868913941931289,2.012643370178539,2.096121189454513,2.182984817179734,2.371743467347462,0.0012990599302029756
a_subj(3.Sudden).12,2.4894248877937395,0.165087861190624,2.1879531280473152,2.3759554957331277,2.4832346955562183,2.5947995220659106,2.830662579188284,0.0019788090396968246
a_subj(4.Gradual).1,2.365765500420025,0.22744002742372432,1.9809679733232712,2.207262106548729,2.342551655151639,2.503010669448451,2.869631641081764,0.00548812413767386
a_subj(4.Gradual).3,2.2277588279365803,0.21988010059377674,1.8496196944230006,2.0712627128838386,2.20940228007406,2.3613131042569377,2.7162599045216567,0.008177059423739776
a_subj(4.Gradual).5,5.307445862053727,0.6765812034978638,4.146333996509315,4.821190347304874,5.256255399738206,5.738600365739078,6.771657453920941,0.026934857587664146
a_subj(4.Gradual).7,1.2407487311610927,0.0711019565296935,1.1118212978195974,1.1896639899201602,1.2372748756582364,1.2888417919018311,1.3845570000621044,0.0008431769186407895
a_subj(4.Gradual).9,1.6717357565545818,0.09256670711611478,1.4983613445083044,1.607952073067832,1.6697531745779346,1.7339749360681629,1.858809021482459,0.0010066122097633187
a_subj(4.Gradual).11,3.003352322450013,0.29537219777469326,2.520510665836129,2.803297615641091,2.968064745082084,3.165186415816231,3.6933551180653,0.006329115608654841
a_subj(4.Gradual).13,2.8040277828156057,0.17397087357642269,2.47509561017084,2.683004976852193,2.798219131448278,2.917574546922852,3.153901295423715,0.0017444748906268264
a_subj(4.Sudden).0,2.176757003830892,0.13277352349612428,1.9294165272586088,2.085076432370097,2.1734052464464,2.2617625304423075,2.4505846863554357,0.0017267119950135554
a_subj(4.Sudden).2,3.8105336859445598,0.40715514261039026,3.100595657214629,3.517554959438048,3.7846002783717085,4.073257293524753,4.6680178908193515,0.013374080313560868
a_subj(4.Sudden).4,3.291616898128211,0.2967109784174752,2.7166897482251877,3.0884895853403616,3.2929718844321467,3.4897103077851543,3.8813512861596458,0.00811217937766425
a_subj(4.Sudden).6,5.490715031962591,0.5716030020150048,4.420484473545073,5.101995642209245,5.484681010417252,5.85126223621544,6.651982902484292,0.01817816075319323
a_subj(4.Sudden).8,2.5382678545357247,0.2241649333509121,2.1273325741266498,2.383700502577602,2.524838454795511,2.681301216777318,3.000304297557969,0.004420550419556039
a_subj(4.Sudden).10,2.0010524339133946,0.12340194856354586,1.7749308135714723,1.916620728908372,1.995949043143849,2.0796195631291865,2.2593584627319094,0.001815892878378535
a_subj(4.Sudden).12,2.4819997642191978,0.15697230726544528,2.182755472719963,2.373568168398307,2.4792302558929142,2.5834225374171518,2.803353563148159,0.0017208908748900635
a_subj(5.Gradual).1,2.8915774244382395,0.25902273099546774,2.4218284491599347,2.709315276504512,2.8803956303528837,3.05681424201323,3.4369871653577317,0.0045534328365789325
a_subj(5.Gradual).3,2.36041387227176,0.20547429654166244,1.9918013882275991,2.215937687741554,2.3476713222119683,2.4907305947159806,2.795293537083368,0.005430218741058344
a_subj(5.Gradual).5,3.480258173496916,0.31604055961800837,2.9212865604447513,3.2640818834330116,3.455550404921188,3.675206161334356,4.176082739043648,0.006468799167054219
