,participant_id,condition,Trial,ITs,block,MTs
195,13,Gradual,13,1.8498811783701967,0,0.25002739251340245
196,0,Sudden,14,0.0,0,0.0
197,1,Gradual,14,0.0,0,0.0
198,2,Sudden,14,0.0,0,0.0
199,3,Gradual,14,0.5333634582348168,0,0.11663996754214168
200,4,Sudden,14,0.8405026474501938,0,0.1201748657040298
201,5,Gradual,14,1.3610287726623937,0,0.2300714182201773
202,6,Sudden,14,1.083299275022,0,0.3166451253928244
203,7,Gradual,14,0.6667177793569863,0,0.49991216277703643
204,8,Sudden,14,1.3209467290434986,0,0.13004696811549366
205,9,Gradual,14,0.6405043345876038,0,0.2901771266479045
206,10,Sudden,14,1.3499848172068596,0,0.1999672199599445
207,11,Gradual,14,1.4666476305574179,0,1.1499593411572278
208,12,Sudden,14,1.0307448501698673,0,0.31023550499230623
209,13,Gradual,14,2.69986045665064,0,0.23329818841193628
210,0,Sudden,15,0.0,0,0.0
211,1,Gradual,15,0.0,0,0.0
212,2,Sudden,15,0.0,0,0.0
213,3,Gradual,15,0.5666974857449532,0,0.1334960930980742
214,4,Sudden,15,0.6904654749669135,0,0.12006167345680296
215,5,Gradual,15,1.5511277196928859,0,0.20009508344810456
216,6,Sudden,15,0.7499633259139955,0,0.3166345600038767
217,7,Gradual,15,1.149968396872282,0,0.6166299120523036
218,8,Sudden,15,0.7305510612204671,0,0.1400714786723256
219,9,Gradual,15,0.6104374441783875,0,0.19015931757166982
220,10,Sudden,15,1.3832982489839196,0,0.3333057649433613
221,11,Gradual,15,1.300043344963342,0,0.5999876847490668
222,12,Sudden,15,0.9306926298886538,0,0.4002677430398762
223,13,Gradual,15,1.316648098114456,0,0.2833541959143986
224,0,Sudden,16,0.0,0,0.0
225,1,Gradual,16,0.0,0,0.0
226,2,Sudden,16,0.0,0,0.0
227,3,Gradual,16,0.9500069580972195,0,0.11665264517068863
228,4,Sudden,16,0.660436247009784,0,0.09007953363470733
229,5,Gradual,16,1.2608811667887494,0,0.37022620800416917
230,6,Sudden,16,1.166679142974317,0,0.24994400795549154
231,7,Gradual,16,0.9666868699714541,0,0.5999496523290873
232,8,Sudden,16,0.6804912944789976,0,0.12008162098936737
233,9,Gradual,16,0.6705612638033926,0,0.24018225842155516
234,10,Sudden,16,1.0999864772893488,0,0.2667087842710316
235,11,Gradual,16,0.9000219739973545,0,0.5666283727623522
236,12,Sudden,16,1.2108989763073623,0,0.7805235926061869
237,13,Gradual,16,3.366478626746357,0,0.5833078022033078
238,0,Sudden,17,0.0,0,0.0
239,1,Gradual,17,0.0,0,0.0
240,2,Sudden,17,0.0,0,0.0
241,3,Gradual,17,0.6333679561503232,0,0.16668885294348001
242,4,Sudden,17,0.5303330367896706,0,0.14006898389197886
243,5,Gradual,17,1.180833896738477,0,0.3001892613247037
244,6,Sudden,17,0.6166724720969796,0,0.3333507399074733
245,7,Gradual,17,1.1499810740351677,0,0.6166489282622933
246,8,Sudden,17,0.7205479824915528,0,0.1500727462116629
247,9,Gradual,17,0.6905124846380204,0,1.1908007534220815
248,10,Sudden,17,1.2333220038563013,0,0.3333009351044893
249,11,Gradual,17,1.2666399637237191,0,1.0332720787264407
250,12,Sudden,17,0.9306953465566039,0,0.3202065876685083
251,13,Gradual,17,1.8834238015742812,0,0.4502227471657534
252,0,Sudden,18,0.0,0,0.0
253,1,Gradual,18,0.0,0,0.0
254,2,Sudden,18,0.0,0,0.0
255,3,Gradual,18,1.3333487282507122,0,0.11666230484843254
256,4,Sudden,18,0.5803870821837336,0,0.17009066580794752
257,5,Gradual,18,1.2208763975650072,0,0.3703010673634708
258,6,Sudden,18,0.9502354087308049,0,0.41651871241629124
259,7,Gradual,18,1.3666385146789253,0,0.46663253800943494
260,8,Sudden,18,1.581118845148012,0,0.160100577166304
261,9,Gradual,18,0.6605132091790438,0,0.19019976584240794
262,10,Sudden,18,1.8665950489230454,0,0.23333256877958775
263,11,Gradual,18,1.6499723205342889,0,1.2998743117786944
264,12,Sudden,18,0.8106104056350887,0,0.3802483035251498
265,13,Gradual,18,1.316623346752749,0,0.2999979776323016
266,0,Sudden,19,0.2183728707022965,0,0.3801023804116994
267,1,Gradual,19,0.0,0,0.0
268,2,Sudden,19,0.0,0,0.0
269,3,Gradual,19,0.5500239823013544,0,0.16662727482616901
270,4,Sudden,19,0.7204868546687067,0,0.13003589864820242
271,5,Gradual,19,1.471035775495693,0,0.3401946342783049
272,6,Sudden,19,0.4333864180371165,0,0.2669460345059633
273,7,Gradual,19,0.9666343489661813,0,0.6999883488751948
274,8,Sudden,19,1.4209947234485298,0,0.13013661839067936
275,9,Gradual,19,0.6504624374210835,0,0.2101404215209186
276,10,Sudden,19,0.8333299127407372,0,0.19998351903632283
277,11,Gradual,19,1.7999488674104214,0,0.9666271046735346
278,12,Sudden,19,0.9808797780424356,0,1.0805860762484372
279,13,Gradual,19,1.516579035777795,0,0.18334088451138086
280,0,Sudden,20,0.0,0,0.0
281,1,Gradual,20,0.0,0,0.0
282,2,Sudden,20,0.0,0,0.0
283,3,Gradual,20,0.6500734561122954,0,0.1999842431396246
284,4,Sudden,20,0.7005169729236513,0,0.15002630604431033
285,5,Gradual,20,1.6011225882684812,0,0.3401976528111845
286,6,Sudden,20,0.6000317540019751,0,0.4166566557250917
287,7,Gradual,20,0.833317234646529,0,0.5666658016853034
288,8,Sudden,20,1.5811037528328598,0,0.2201534614432603
289,9,Gradual,20,0.6504977543372661,0,0.20011349627748132
290,10,Sudden,20,0.9166409596800804,0,0.36660893354564905
291,11,Gradual,20,1.1833838522434235,0,1.133275761269033
292,12,Sudden,20,1.370982347521931,0,0.8807318708859384
293,13,Gradual,20,1.8998704779332911,0,0.216690024507443
294,0,Sudden,21,0.0,0,0.0
295,1,Gradual,21,0.0,0,0.0
296,2,Sudden,21,0.0,0,0.0
297,3,Gradual,21,1.3500427575781941,0,1.4332850063219666
298,4,Sudden,21,0.6503838433418423,0,0.18011590326204896
299,5,Gradual,21,2.431654029060155,0,0.28018159430939704
300,6,Sudden,21,0.5166992759332061,0,0.2833836106583476
301,7,Gradual,21,0.8166698762215674,0,0.6166468155570328
302,8,Sudden,21,1.591134601738304,0,0.15009689470753074
303,9,Gradual,21,0.7405704401899129,0,0.3101727196481079
304,10,Sudden,21,1.3666170835494995,0,0.3668845184147358
305,11,Gradual,21,1.0666582551784813,0,2.5498382411897182
306,12,Sudden,21,0.8310584747232497,0,0.2597459009848535
307,13,Gradual,21,1.6166131745458188,0,0.21662241103058477
308,0,Sudden,22,0.0,0,0.0
309,1,Gradual,22,0.0,0,0.0
310,2,Sudden,22,0.0,0,0.0
311,3,Gradual,22,1.1000099307857454,0,1.733248995617032
312,4,Sudden,22,0.9705965004395694,0,0.15019171801395714
313,5,Gradual,22,1.2708869624184445,0,0.30020224093459547
314,6,Sudden,22,0.8666581348516047,0,0.36662312038242817
315,7,Gradual,22,1.1833488382399082,0,4.799656681250781
316,8,Sudden,22,1.2308867208193988,0,0.2601364974398166
317,9,Gradual,22,0.8506529063452035,0,1.6010591990780085
318,10,Sudden,22,1.2668606122024357,0,0.24990748427808285
319,11,Gradual,22,1.6834291289560497,0,1.2164660701528192
320,12,Sudden,22,1.0207613920792937,0,0.3802507179789245
321,13,Gradual,22,2.549890143192897,0,0.18329500393701892
322,0,Sudden,23,0.0,0,0.0
323,1,Gradual,23,0.0,0,0.0
324,2,Sudden,23,0.0,0,0.0
325,3,Gradual,23,0.8167073717340827,0,0.14995920425280929
326,4,Sudden,23,0.6004206535872072,0,0.12005231599323452
327,5,Gradual,23,1.3310192340286449,0,0.30024932988453656
328,6,Sudden,23,0.516692936886102,0,0.2833090550266206
329,7,Gradual,23,1.4832838205620646,0,0.7332737087272108
330,8,Sudden,23,1.1708718698937446,0,0.16005560127086937
331,9,Gradual,23,0.5704254305455834,0,1.1107157517690212
332,10,Sudden,23,1.2499747960828245,0,0.21666921209543943
333,11,Gradual,23,0.9500114396214485,0,1.1999092656187713
334,12,Sudden,23,1.2909396053291857,0,0.5404738476499915
335,13,Gradual,23,1.09998463604461,0,0.11658947964497202
336,0,Sudden,24,0.0,0,0.0
337,1,Gradual,24,0.0,0,0.0
338,2,Sudden,24,0.0,0,0.0
339,3,Gradual,24,0.7500224127434194,0,0.13332614907994866
340,4,Sudden,24,0.8004801778588444,0,0.11009891820140183
341,5,Gradual,24,1.1008343193680048,0,0.22008162084966898
342,6,Sudden,24,0.6500296713784337,0,0.3166212788783014
343,7,Gradual,24,1.1833325386978686,0,0.599933956284076
344,8,Sudden,24,1.2609442539978772,0,0.19020218052901328
345,9,Gradual,24,0.4803856462240219,0,1.9212682016659528
346,10,Sudden,24,1.6668300656601787,0,0.24977406905964017
347,11,Gradual,24,0.5999644421972334,0,0.7166175968013704
348,12,Sudden,24,0.8206340102478862,0,0.37035992834717035
349,13,Gradual,24,1.266640687797917,0,0.19995810379259638
350,0,Sudden,25,0.0,0,0.0
351,1,Gradual,25,0.0,0,0.0
352,2,Sudden,25,0.0,0,0.0
353,3,Gradual,25,0.6166947539895773,0,0.11665989039465785
354,4,Sudden,25,0.8305438160896301,0,0.12005291995592415
355,5,Gradual,25,1.2208323271479458,0,0.3102324865758419
356,6,Sudden,25,0.9333770605735481,0,0.2999763353727758
357,7,Gradual,25,1.6832655286416411,0,0.5833059158176184
358,8,Sudden,25,1.3109427448362112,0,0.17009641136974096
359,9,Gradual,25,0.6405499144457281,0,0.18011035700328648
360,10,Sudden,25,0.7167265629395843,0,0.38330488931387663
361,11,Gradual,25,1.1833938132040203,0,0.733206095173955
362,12,Sudden,25,1.1508862376213074,0,0.42022198205813766
363,13,Gradual,25,3.4832797003518863,0,0.24992446306896454
364,0,Sudden,26,0.0,0,0.0
365,1,Gradual,26,0.0,0,0.0
366,2,Sudden,26,0.0,0,0.0
367,3,Gradual,26,0.5833604247309268,0,0.116670454852283
368,4,Sudden,26,0.8407057903241366,0,1.0003815344534814
369,5,Gradual,26,1.6811502379132435,0,0.21011959377210587
370,6,Sudden,26,1.0000150920823216,0,0.33325414964929223
371,7,Gradual,26,1.2333467556163669,0,0.49994596978649497
372,8,Sudden,26,1.7415547801647335,0,0.21979335183277726
373,9,Gradual,26,0.6104975126218051,0,0.24014120642095804
374,10,Sudden,26,1.5499481125734746,0,0.21665653493255377
375,11,Gradual,26,1.699946392327547,0,0.8999809236265719
376,12,Sudden,26,1.2509061601012945,0,0.5503450171090662
377,13,Gradual,26,7.182881776930117,0,0.23330814932614885
378,0,Sudden,27,0.6185903211589903,0,0.22987715736962855
379,1,Gradual,27,0.0,0,0.0
380,2,Sudden,27,0.0,0,0.0
381,3,Gradual,27,0.6333275074139237,0,0.13336146622896194
382,4,Sudden,27,0.6504532683175057,0,0.16005033580586314
383,5,Gradual,27,1.110811740742065,0,0.250135229784064
384,6,Sudden,27,0.633378388825804,0,0.18330869264900684
385,7,Gradual,27,1.3000357984565198,0,0.6999171134084463
386,8,Sudden,27,1.5911041148938239,0,0.29021183983422816
387,9,Gradual,27,0.5604102774523199,0,0.2801716329995543
388,10,Sudden,27,1.9333227286115289,0,0.1666079075075686
389,11,Gradual,27,1.366613763384521,0,0.7167814983986318
390,12,Sudden,27,1.1308504985645413,0,0.4202563934959471
391,13,Gradual,27,3.1331647423485265,0,0.24999056731667224
392,0,Sudden,28,0.0,0,0.0
393,1,Gradual,28,0.0,0,0.0
394,2,Sudden,28,0.0,0,0.0
395,3,Gradual,28,0.5834023826755583,0,0.116608876734972
396,4,Sudden,28,0.6704412607941777,0,0.1400789450854063
397,5,Gradual,28,1.3609448577044532,0,0.26015249569900334
398,6,Sudden,28,1.0000015092082322,0,0.20002034399658442
399,7,Gradual,28,1.0833080289885402,0,0.36692405957728624
400,8,Sudden,28,1.300917932530865,0,0.27018334507010877
401,9,Gradual,28,0.6605436960235238,0,0.21010480308905244
402,10,Sudden,28,1.549962601158768,0,0.2333141560666263
403,11,Gradual,28,1.1166751887649298,0,0.9332578317262232
404,12,Sudden,28,1.0108509818091989,0,0.4301900458522141
405,13,Gradual,28,1.9666282215630417,0,0.6165624644390846
406,0,Sudden,29,0.19858077669050545,0,0.36995187657885253
407,1,Gradual,29,0.0,0,0.0
408,2,Sudden,29,0.0,0,0.0
409,3,Gradual,29,0.8334131739102304,0,14.066017257981002
410,4,Sudden,29,0.7904739568475634,0,0.12013834249228239
411,5,Gradual,29,1.3909688850399107,0,0.3001992224017158
412,6,Sudden,29,1.0833080289885402,0,0.2833549352362752
413,7,Gradual,29,1.016642529051751,0,0.4834782090038061
414,8,Sudden,29,1.5210635459516197,0,0.21015128819271922
415,9,Gradual,29,0.7405293881893158,0,0.11007341044023633
416,10,Sudden,29,0.9833046477288008,0,0.4166476004756987
417,11,Gradual,29,2.566592453047633,0,1.8331684255972505
418,12,Sudden,29,1.3109662891365588,0,0.270172780379653
419,13,Gradual,29,6.036917602614267e-05,0,1.9832415168475563
420,0,Sudden,30,0.0,0,0.0
421,1,Gradual,30,0.0,0,0.0
422,2,Sudden,30,0.0,0,0.0
423,3,Gradual,30,1.399995653424412,0,0.11665355088189244
424,4,Sudden,30,0.6204303794074804,0,0.19008771353401244
425,5,Gradual,30,1.1609976817853749,0,0.37005083193071187
426,6,Sudden,30,0.5333647453226149,0,0.2666124957613647
427,7,Gradual,30,1.3332010246813297,0,2.716482068412006
428,8,Sudden,30,1.611132911639288,0,0.2801815941929817
429,9,Gradual,30,0.5604845331981778,0,0.2701730818953365
430,10,Sudden,30,0.749996226746589,0,0.4999731360003352
431,11,Gradual,30,2.033387987408787,0,2.149746238719672
432,12,Sudden,30,1.330940450541675,0,0.39054448110982776
433,13,Gradual,30,0.33337609483260167,0,0.36665581027591543
434,0,Sudden,31,0.0,0,0.0
435,1,Gradual,31,0.0,0,0.0
