p_id,Block,Rotation,Emphasis,avgerrors_mean,avgerrorsdegrees_mean,smoothedavgerror_mean,smoothedavgerrordegrees_mean,initerrors_mean,initerrorsdegrees_mean
24,4,Sudden,Speed,0.3937664340939533,0.3936881154173953,0.3937664340939533,22.56115478749981,0.5358877676653003,22.56115478749981
24,5,Sudden,Speed,0.4470314323155159,0.446982272955478,0.44703143231551595,25.613014381367186,0.6537000083828012,25.613014381367183
24,6,Sudden,Speed,0.46127076593770644,0.46087721696923856,0.4612707659377065,26.428868100997434,0.6135923197640681,26.428868100997434
24,7,Sudden,Speed,0.4774971127313503,0.47731045253871174,0.4774971127313503,27.358569289188864,0.6415957582884942,27.35856928918886
24,8,Sudden,Speed,0.4425120512699208,0.44234946664142416,0.4425120512699209,25.354072921443166,0.6172066830334262,25.354072921443166
24,9,Sudden,Speed,0.48199162049945643,0.48215285424566057,0.48199162049945643,27.616085615290107,0.7447996288448661,27.616085615290103
24,10,Sudden,Speed,0.48670022926495504,0.4868058334294818,0.48670022926495504,27.88586902493148,0.6865755589552438,27.88586902493148
24,11,Sudden,Speed,0.36224699954723005,0.3603848495695595,0.3622469995472301,20.755224215333726,0.5154175519735651,20.755224215333726
25,0,Sudden,Accuracy,0.08807728751338889,0.0920444352819933,0.0880772875133889,5.04645684547749,0.012271867047237131,5.046456845477489
25,1,Sudden,Accuracy,0.5043251511439428,0.5046379311803091,0.5043251511439429,28.89570266284527,0.8415243163469384,28.895702662845267
25,2,Sudden,Accuracy,0.4243694392140041,0.4241014219435356,0.42436943921400416,24.314577821295973,0.6658639322092292,24.314577821295973
25,3,Sudden,Accuracy,0.3635536879152311,0.36352175521080055,0.3635536879152311,20.830091943959026,0.40429093529933907,20.830091943959022
25,4,Sudden,Accuracy,0.3563728680779244,0.3570522752308249,0.35637286807792445,20.418661273837532,0.3427263811709405,20.418661273837532
25,5,Sudden,Accuracy,0.30141171603549993,0.3024521558017579,0.3014117160355,17.269619224629785,0.3076424803880724,17.269619224629785
25,6,Sudden,Accuracy,0.32617109874080347,0.33480776338419843,0.32617109874080347,18.68822735699288,0.3313398623663719,18.68822735699288
25,7,Sudden,Accuracy,0.23100881889260977,0.24548579832695086,0.2310088188926098,13.235830352848536,0.17031479878613176,13.235830352848536
25,8,Sudden,Accuracy,0.1837763530605802,0.19760668318865954,0.1837763530605802,10.529609404677377,0.14726217275917877,10.529609404677375
25,9,Sudden,Accuracy,0.13282164700430898,0.14850953973590061,0.132821647004309,7.61011980132334,0.06135925094248864,7.610119801323339
25,10,Sudden,Accuracy,0.14447882219031433,0.15967929221447608,0.14447882219031433,8.278026740526075,0.12271848081155302,8.278026740526075
25,11,Sudden,Accuracy,0.26095793455818184,0.26796556729999527,0.26095793455818184,14.951788280634952,0.25770878652349466,14.951788280634952
26,0,Gradual,Speed,0.09376260629587448,0.10821068275316996,0.09376260629587449,5.3722016169003695,0.14726217275917877,5.372201616900369
26,1,Gradual,Speed,0.09434072021910725,0.10828185060266779,0.09434072021910725,5.405325104779356,0.1722005562618491,5.405325104779356
26,2,Gradual,Speed,0.1028540903275853,0.12003099893953624,0.10285409032758532,5.893105281427982,0.14946831675385716,5.893105281427981
26,3,Gradual,Speed,0.17879095840401538,0.19442570023408787,0.17879095840401538,10.243967331649138,0.21570531933490295,10.243967331649136
26,4,Gradual,Speed,0.1984370389732614,0.21393447377548613,0.1984370389732614,11.36960483224091,0.24996530430949448,11.369604832240908
26,5,Gradual,Speed,0.20545677753883135,0.22325850174016915,0.20545677753883135,11.771806225333286,0.36737718875029934,11.771806225333284
26,6,Gradual,Speed,0.2590315719512935,0.2684674259207308,0.2590315719512935,14.841415833448432,0.3924374672094967,14.84141583344843
26,7,Gradual,Speed,0.29183123042258674,0.29988436366485477,0.29183123042258674,16.720697833324053,0.5342772000785974,16.720697833324053
26,8,Gradual,Speed,0.18987680211724214,0.20236874289241719,0.18987680211724217,10.87913938875867,0.3703003473839297,10.879139388758668
26,9,Gradual,Speed,0.1826664049405036,0.2051934976045111,0.18266640494050362,10.466014061918507,0.3301268192724395,10.466014061918505
26,10,Gradual,Speed,0.1531213786369642,0.17066993278590017,0.15312137863696423,8.773208749122697,0.1840777113391619,8.773208749122695
