p_id,Block,Rotation,Emphasis,initerrors_mean,initerrorsdegrees_mean
11,7,Gradual,Accuracy,0.32970592799940607,18.890758154810165
11,8,Gradual,Accuracy,0.41121675023965726,23.560984253817644
11,9,Gradual,Accuracy,0.37604822662782045,21.545976279153212
11,10,Gradual,Accuracy,0.3503801059048503,20.075301293694736
11,11,Gradual,Accuracy,-0.37828431603269513,-21.674094764666453
12,0,Sudden,Speed,0.26164759706467,14.991303031545137
12,1,Sudden,Speed,1.7296828563083069,99.1035275625992
12,2,Sudden,Speed,2.212050529220415,126.74115939400997
12,3,Sudden,Speed,1.82746242377899,104.70588410128401
12,4,Sudden,Speed,2.1357083007614728,122.36707190468906
12,5,Sudden,Speed,2.3659566936024463,135.55933305414703
12,6,Sudden,Speed,2.4576197203550993,140.81123762446882
12,7,Sudden,Speed,2.0211944394774553,115.80591095736828
12,8,Sudden,Speed,1.8278987850535053,104.7308857606567
12,9,Sudden,Speed,1.931128742530377,110.64552664339641
12,10,Sudden,Speed,1.972972841529792,113.04301691359048
12,11,Sudden,Speed,-0.6504850529343966,-37.27004816948487
13,0,Sudden,Accuracy,0.11500843032343895,6.589497665957449
13,1,Sudden,Accuracy,1.6555898266047488,94.85830966924789
13,2,Sudden,Accuracy,1.6881675897146207,96.72487800142052
13,3,Sudden,Accuracy,1.4424851268574785,82.64830977932667
13,4,Sudden,Accuracy,1.3525427227983855,77.49498962748032
13,5,Sudden,Accuracy,1.294410648292387,74.16426710394656
13,6,Sudden,Accuracy,0.9704443737079078,55.60236686567955
13,7,Sudden,Accuracy,1.2256527900646284,70.22473201913712
13,8,Sudden,Accuracy,0.8114921404392642,46.49507475520732
13,9,Sudden,Accuracy,0.5868250265769017,33.622597335508836
13,10,Sudden,Accuracy,0.6079171578774264,34.83108743996468
13,11,Sudden,Accuracy,-0.5389485162364471,-30.879475355186344
14,0,Gradual,Speed,0.11581860248260895,6.635917111356891
14,1,Gradual,Speed,0.11629566641390572,6.663250861178116
14,2,Gradual,Speed,0.14117379414119421,8.088662582139138
14,3,Gradual,Speed,0.12646286968575887,7.245788698106903
14,4,Gradual,Speed,0.11399012302646638,6.531152955593546
14,5,Gradual,Speed,0.1912283964394658,10.956580039035929
14,6,Gradual,Speed,0.8616605952415806,49.36951548007287
14,7,Gradual,Speed,1.097827757454582,62.90089713445935
14,8,Gradual,Speed,0.8744926658916423,50.104738970735106
14,9,Gradual,Speed,1.3407535601181282,76.81952036190845
14,10,Gradual,Speed,1.047555180472528,60.02049064814113
14,11,Gradual,Speed,-0.313292721902674,-17.950350717189025
15,0,Gradual,Accuracy,0.0981067481591984,5.621102611274926
15,1,Gradual,Accuracy,0.08962482676253222,5.135124313084246
15,2,Gradual,Accuracy,0.0923943195438081,5.293804560843302
15,3,Gradual,Accuracy,0.09456708331905313,5.418294755043753
15,4,Gradual,Accuracy,0.08265561480260403,4.735817881248264
15,5,Gradual,Accuracy,0.1312761581476263,7.521569812550922
15,6,Gradual,Accuracy,0.17807902603862544,10.203176611813529
15,7,Gradual,Accuracy,0.19592559617944003,11.225709759666401
15,8,Gradual,Accuracy,0.23314572858318397,13.358266259319045
15,9,Gradual,Accuracy,0.2884293488009475,16.525784374001002
15,10,Gradual,Accuracy,0.23513125074046834,13.472028299061149
15,11,Gradual,Accuracy,-0.4403363851003579,-25.229416432297814
16,0,Sudden,Speed,0.12600961804826424,7.219819292221068
16,1,Sudden,Speed,1.3871000508802833,79.47497867782198
16,2,Sudden,Speed,1.164180293139272,66.70261738918327
16,3,Sudden,Speed,1.0221498327853755,58.56487144860485
16,4,Sudden,Speed,1.266210230401173,72.54850217827479
16,5,Sudden,Speed,1.4160906409723308,81.13601713569008
16,6,Sudden,Speed,1.3987746496606726,80.14388391544686
16,7,Sudden,Speed,1.4798655950625945,84.7900528437028
16,8,Sudden,Speed,1.5691188499551996,89.90388765685441
16,9,Sudden,Speed,1.543577791794044,88.44049281992204
16,10,Sudden,Speed,1.5558849236286192,89.14563953195429
16,11,Sudden,Speed,-0.6756520866069597,-38.71201298178637
17,0,Sudden,Accuracy,0.08796326153625694,5.039923638232973
17,1,Sudden,Accuracy,0.5837700014558355,33.4475572897653
17,2,Sudden,Accuracy,0.21836872135272578,12.511606111179487
17,3,Sudden,Accuracy,0.13451464710939018,7.7071215620596965
17,4,Sudden,Accuracy,0.13554783886025332,7.766319088811886
17,5,Sudden,Accuracy,0.1487355769221169,8.521920821080705
17,6,Sudden,Accuracy,0.13839641699262592,7.929530593410094
17,7,Sudden,Accuracy,0.14443881889913834,8.27573472077506
17,8,Sudden,Accuracy,0.13257538808968183,7.5960102048477305
17,9,Sudden,Accuracy,0.13696522851537046,7.847529533975602
17,10,Sudden,Accuracy,0.10617658817893828,6.083470385751791
17,11,Sudden,Accuracy,-0.10864727706802013,-6.225030431586047
18,0,Gradual,Speed,0.4299142574368009,24.632272503629455
18,1,Gradual,Speed,0.28691598933218926,16.439075263554997
18,2,Gradual,Speed,0.22246059348118227,12.746053114447259
18,3,Gradual,Speed,0.24897608371525223,14.265278796579818
18,4,Gradual,Speed,0.2800636259848045,16.046463764059713
18,5,Gradual,Speed,0.2709507667512174,15.524335390678347
18,6,Gradual,Speed,0.22248214057308363,12.747287671873986
18,7,Gradual,Speed,0.24930459720576292,14.284101233099193
18,8,Gradual,Speed,0.3729271464211169,21.367151555787284
18,9,Gradual,Speed,0.4482723055066982,25.68411117813286
18,10,Gradual,Speed,0.3600344777730659,20.628456055593322
18,11,Gradual,Speed,-0.6632343691414397,-38.00053017982618
19,0,Gradual,Accuracy,0.08615790603624848,4.936484387561758
19,1,Gradual,Accuracy,0.07744053072878186,4.437015574012362
19,2,Gradual,Accuracy,0.1092887963335257,6.261786777975848
19,3,Gradual,Accuracy,0.11669320255305342,6.686028004155204
19,4,Gradual,Accuracy,0.08415956634131451,4.821987957008581
19,5,Gradual,Accuracy,0.15096582756594293,8.649704770228272
19,6,Gradual,Accuracy,0.1473681346586934,8.44357215065872
19,7,Gradual,Accuracy,0.14567485865036864,8.346554581830954
19,8,Gradual,Accuracy,0.15238208590248573,8.730850395612393
19,9,Gradual,Accuracy,0.24768282872525793,14.191180743818911
19,10,Gradual,Accuracy,0.15965399467990604,9.147500077562714
19,11,Gradual,Accuracy,-0.3255589835601519,-18.653155740565655
20,0,Sudden,Speed,0.09258891458672788,5.304954035516773
20,1,Sudden,Speed,1.4578524601042584,83.52879311673823
20,2,Sudden,Speed,1.4310065077682026,81.99063335087287
20,3,Sudden,Speed,1.154313064630298,66.1372668401279
20,4,Sudden,Speed,0.44677084930483413,25.598084074642305
