p_id,gof,test gof,A,B,Eps,cv itr
30.0,-587.4503916204651,-59.76396770244811,0.9898834152372775,0.029259748201095708,0.08723716303794815,1
31.0,-569.0679235726133,-60.39064138489037,0.9938159072947832,0.030704278039089476,0.09012051743889926,1
32.0,-654.3931841407614,36.27813733458925,0.7361924593513283,0.6977800363890392,0.07768763584990537,1
33.0,-351.5868711098689,-45.21922277338053,0.8086235023018387,0.6097350705104997,0.1314212529507917,1
34.0,-580.6662360845266,-61.60393769153162,0.9841085549927417,0.05118030489620118,0.08829299124325227,1
35.0,-646.1654379610382,-74.11214635738297,0.9951724716848893,0.028128445899108345,0.07880766996828725,1
36.0,-216.39765869840207,-21.219123644943394,0.920237435602554,0.5327133922827108,0.1661875695544397,1
37.0,-260.4679810255005,-18.792642994072562,0.883271680792412,0.8052935194351437,0.15395032396194613,1
38.0,-413.0878873408758,-47.26448638171632,0.9927641196686643,0.030023624242273873,0.11813874782293854,1
39.0,-640.7368781785117,-53.67147960895416,0.9947244675996532,0.02638069861521763,0.0795584707253365,1
40.0,-687.9354775347917,20.080163031982217,0.7596192145730027,0.6178758262771888,0.0732997950462636,1
41.0,-364.01581532897126,-42.28870027186123,0.9010675216024515,0.6942433224800977,0.12861694900052228,1
42.0,-334.9605367418346,-38.46500479756771,0.9984527254823123,0.012756742281392924,0.13524086768341856,1
43.0,-543.8714690692723,-57.162321449094186,0.9989669012798587,0.01756663791696353,0.0941381867954389,1
44.0,-592.6947318923211,-71.17813510250815,0.6823228828986194,0.8239093169889771,0.0864717315724096,1
45.0,-422.41552409741814,-58.55754844400793,0.7249767588106857,0.7020673741434384,0.1162191120887842,1
46.0,-528.4593979169246,-61.637502002443824,0.8861695692937572,0.29692769252469514,0.09667658450408774,1
47.0,-587.702297327779,-62.903549943159106,0.9966974897053402,0.018520885731819682,0.08723695086545516,1
48.0,-183.4699242415197,5.813258909022546,0.8703743612756272,0.5835618606861033,0.17596784616578612,1
49.0,-333.90809916969476,-49.61202837596925,0.9520773808759222,0.4295166153861205,0.13552263301376516,1
50.0,-499.38932937373994,-56.03081311912348,0.9977322015241719,0.01991397076159488,0.10166576602602242,1
51.0,-544.021571205344,-70.73846290575882,0.9975976462880239,0.020294451307745195,0.09409920820603158,1
52.0,-319.21953990415165,-32.66720720616236,0.923596061514831,0.5140173693882281,0.13901671348137182,1
53.0,-387.2615096082225,-56.566656424369995,0.9191759433217328,0.8821580836954954,0.12352951985261595,1
54.0,-362.5013803721822,-33.25079618586184,0.9986475246622463,0.014035667460467279,0.12897569736208003,1
55.0,-595.5284369784287,-62.19791858513662,0.9874752135600178,0.050946655552207426,0.08604574976037362,1
56.0,-604.110430604156,-75.24937996080023,0.7057580852020346,0.7609814375987112,0.08477563682949694,1
57.0,-529.9096181889736,-47.57737538264236,0.9326316565343156,0.8393638506632359,0.09643426677395993,1
58.0,-544.8505060478519,-49.9139842324926,0.9955677302005008,0.016516214480198847,0.09397634936665113,1
59.0,-652.5721132285097,-72.53289758969207,0.9968381198930315,0.018173289401189785,0.07794967472936667,1
0.0,-632.022687916968,35.87925269973265,0.7668028640000611,0.5890938341839198,0.08076629862750263,2
1.0,-261.1088077935841,-36.288765757590085,0.8118501732791122,0.6545331740217364,0.1537760724370172,2
2.0,-561.6727509540532,-61.636746701147075,0.9967864769020589,0.016601126786806884,0.09123895362989852,2
3.0,-495.8747492995995,-55.529617564874684,0.9973704873079626,0.024003322187603617,0.10231358434219606,2
4.0,-564.6513806493988,-72.50963682915572,0.6912623463681777,0.8090215548195853,0.09078694172636775,2
5.0,-432.059093822389,-58.77211944066829,0.9241207162746913,0.6373699334854814,0.11428656859995154,2
6.0,-658.0664533658886,-70.98224245577549,0.9875053719942124,0.05544673004577413,0.07719636565639734,2
7.0,-613.6793475354032,-79.90626616055735,0.9964868301772882,0.026051508352863358,0.08339518898177603,2
8.0,-380.3165555243665,-50.143552117109444,0.8886154716665983,0.950880179492336,0.12502975839487246,2
9.0,-105.24201719411647,-4.321022357447127,0.9967626540719537,0.019524311438733222,0.20162682158450845,2
10.0,-572.4454167915558,-66.7272571136669,0.9683239753615601,0.10121497524705325,0.08956477798870635,2
11.0,-581.3102964115669,-67.87781450259374,0.9939285013393164,0.029176961381438993,0.08819877317282071,2
12.0,-551.1094007637786,-69.2821710144726,0.7614120639198521,0.632557924632285,0.09294874021777623,2
13.0,-480.05007044437986,-66.45433662277992,0.7796398635719666,0.6299174245753316,0.10515156888115397,2
14.0,-650.7782998765421,-69.92922872490827,0.9923589038706178,0.021253065105477385,0.07818904369924234,2
15.0,-774.9163713151528,-86.41611273706016,0.9962177834127036,0.026134445482448643,0.06302057388435825,2
16.0,-516.5840352286931,-65.24488958001376,0.7152774442984706,0.8192671196965564,0.09868884794754973,2
17.0,-546.5036042873453,-68.93177429135051,0.9107149916872418,0.6651793823638069,0.09369588970685583,2
18.0,-473.82752649615014,-44.63482784668891,0.9975261199532794,0.013009655663240005,0.10632059318210901,2
19.0,-540.8922046926419,-65.82773774574734,0.9956741494838981,0.03128061370945707,0.09458912687107893,2
20.0,-287.45052118776783,-27.554116834921896,0.853204382885062,0.6290702173907093,0.14690013127867957,2
21.0,-574.9703411719826,-77.65868039380418,0.7194323595631296,0.7194428949250168,0.08917502433904581,2
22.0,-450.36085912752844,-54.66413814029612,0.9954769734905475,0.02541474551627245,0.11070056769009853,2
